Date,Open,High,Low
2015-07-01,263.345001,265.171997,255.774002
2015-07-02,258.552002,261.631012,254.115997
2015-07-03,255.459000,257.076996,253.505005
2015-07-04,256.490997,261.457001,254.199997
2015-07-05,260.804993,274.506012,258.700989
2015-07-06,271.108002,277.421997,267.600006
2015-07-07,269.963013,271.341003,264.832001
2015-07-08,265.981995,272.971008,264.385986
2015-07-09,270.826996,272.334991,267.085999
2015-07-10,269.156006,294.591003,268.802002
2015-07-11,284.880005,298.506012,283.529999
2015-07-12,293.140015,314.394012,292.505005
2015-07-13,310.826996,310.947998,281.010986
2015-07-14,292.033997,296.147003,286.638000
2015-07-15,288.045013,293.247986,285.367004
2015-07-16,286.041992,291.183014,275.239990
2015-07-17,278.091003,280.279999,272.042999
2015-07-18,279.330994,282.527008,274.075012
2015-07-19,274.766998,275.670013,272.513000
2015-07-20,273.498993,278.980988,272.959991
2015-07-21,278.881989,280.546997,275.419006
2015-07-22,275.657013,277.665985,274.381012
2015-07-23,277.341003,278.110992,275.716003
2015-07-24,276.005005,289.252991,275.253998
2015-07-25,288.164001,290.733002,286.002014
2015-07-26,288.640015,293.052002,287.705994
2015-07-27,292.639008,297.773987,287.450012
2015-07-28,293.632996,296.648987,293.423004
2015-07-29,294.484009,294.536011,288.777008
2015-07-30,289.102997,290.126007,286.567993
2015-07-31,287.696014,288.959015,282.343994
2015-08-01,284.686005,284.932007,278.112000
2015-08-02,280.449005,283.032013,277.528992
2015-08-03,282.806000,285.471008,280.233002
2015-08-04,281.225006,285.714996,281.225006
2015-08-05,284.846985,285.501007,281.488007
2015-08-06,281.906006,281.906006,278.403015
2015-08-07,278.740997,280.391998,276.365997
2015-08-08,279.742004,279.928009,260.709991
2015-08-09,261.115997,267.002991,260.467987
2015-08-10,265.477997,267.032013,262.596008
2015-08-11,264.342010,270.385986,264.093994
2015-08-12,270.597992,270.673004,265.468994
2015-08-13,266.183014,266.231995,262.841003
2015-08-14,264.131989,267.466003,261.477997
2015-08-15,265.528992,266.666992,261.295990
2015-08-16,261.865997,262.440002,257.040985
2015-08-17,258.489990,260.505005,257.117004
2015-08-18,257.925995,257.993011,211.078995
2015-08-19,225.671005,237.408997,222.766006
2015-08-20,226.899002,237.365005,226.899002
2015-08-21,235.354996,236.432007,231.723999
2015-08-22,232.662003,234.957001,222.703995
2015-08-23,230.376007,232.705002,225.580002
2015-08-24,228.112000,228.139008,210.442993
2015-08-25,210.067993,226.320999,199.567001
2015-08-26,222.076004,231.182999,220.203995
2015-08-27,226.050003,228.643005,223.684006
2015-08-28,224.701004,235.218994,220.925995
2015-08-29,231.548996,233.222000,227.330002
2015-08-30,229.895004,232.067993,226.246994
2015-08-31,229.113998,231.955994,225.914993
2015-09-01,230.255997,231.216003,226.860001
2015-09-02,228.026993,230.576996,226.475006
2015-09-03,229.324005,229.604996,226.667007
2015-09-04,227.214996,230.899994,227.050995
2015-09-05,230.199005,236.143005,229.442993
2015-09-06,234.869995,242.912003,234.681000
2015-09-07,239.934006,242.106003,238.722000
2015-09-08,239.845993,245.781006,239.677994
2015-09-09,243.414993,244.416000,237.820999
2015-09-10,238.335999,241.292999,235.791000
2015-09-11,238.328995,241.169006,238.328995
2015-09-12,239.854996,240.123993,234.753998
